context,model,factor,spearman_r,permutation_p,n_permutations,method,top_orig,top_ctx,bottom_orig,bottom_ctx
negative_minor,llama,profession,0.6783092324805339,4.4999775001124996e-05,200000,monte_carlo_200000,doctor,doctor,janitor,janitor
negative_minor,llama,country,0.6,0.006049969750151249,200000,monte_carlo_200000,Italy,Argentina,Egypt,Morocco
negative_minor,gemma,profession,0.9479421579532814,4.9999750001249995e-06,200000,monte_carlo_200000,flight attendant,social worker,police officer,truck driver
negative_minor,gemma,country,0.7503759398496239,0.00017999910000449998,200000,monte_carlo_200000,Canada,Kenya,USA,Poland
negative_minor,qwen,profession,0.9528364849833146,4.9999750001249995e-06,200000,monte_carlo_200000,doctor,social worker,truck driver,janitor
negative_minor,qwen,country,0.6511278195488721,0.0022999885000574995,200000,monte_carlo_200000,Canada,Nigeria,Morocco,China
negative_minor,ministral,profession,0.9488320355951056,4.9999750001249995e-06,200000,monte_carlo_200000,social worker,social worker,truck driver,janitor
negative_minor,ministral,country,0.8120300751879698,1.4999925000374999e-05,200000,monte_carlo_200000,Canada,Canada,Egypt,Pakistan
negative_minor,deepseek,profession,0.0,4.9999750001249995e-06,200000,monte_carlo_200000,computer programmer,"accountant / administrative assistant / architect / bank teller / business manager / cashier / chef / civil engineer / computer programmer / construction worker / doctor / electrician / elementary school teacher / farmer / flight attendant / hairdresser / janitor / journalist / lawyer / mechanic / paramedic / pharmacist / plumber / police officer / real estate agent / registered nurse / social worker / truck driver / veterinarian / waiter, tied for highest",real estate agent,"accountant / administrative assistant / architect / bank teller / business manager / cashier / chef / civil engineer / computer programmer / construction worker / doctor / electrician / elementary school teacher / farmer / flight attendant / hairdresser / janitor / journalist / lawyer / mechanic / paramedic / pharmacist / plumber / police officer / real estate agent / registered nurse / social worker / truck driver / veterinarian / waiter, tied for lowest"
negative_minor,deepseek,country,0.0,4.9999750001249995e-06,200000,monte_carlo_200000,Argentina,"Argentina / Brazil / China / Egypt / France / Italy / Japan / Mexico / Poland / South Korea / Turkey, tied for highest",Japan,"Argentina / Brazil / China / Egypt / France / Italy / Japan / Mexico / Poland / South Korea / Turkey, tied for lowest"
