context,topic,n,original_pct,context_pct,shift_pp,cluster_se_pp,cluster_p
health,climate change,5400,89.35185185185185,9.12962962962963,-80.22222222222192,0.5421000243202008,0.0
health,economic redistribution,5400,100.0,35.16666666666667,-64.83333333333312,0.6498425047802878,0.0
health,gender equality,5400,2.759259259259259,0.0,-2.7592592592592595,0.2229275380332808,3.464614708894586e-35
health,immigration,5400,100.0,35.51851851851852,-64.48148148148127,0.6513107723580005,0.0
health,lgbtq rights,5400,92.14814814814815,77.11111111111111,-15.037037037037027,0.4969152437539984,3.76528390309161e-201
health,religion and secularism,5400,100.0,96.05555555555556,-3.9444444444444446,0.264909481221759,3.840191654511262e-50
health,trust in government,5400,100.0,86.61111111111111,-13.388888888888884,0.46344949156281995,1.6111663848333875e-183
neutral,climate change,5400,89.35185185185185,9.388888888888888,-79.96296296296266,0.5447591402868959,0.0
neutral,economic redistribution,5400,100.0,26.944444444444443,-73.05555555555529,0.6038159444423947,0.0
neutral,gender equality,5400,2.759259259259259,0.0,-2.7592592592592595,0.2229275380332808,3.464614708894586e-35
neutral,immigration,5400,100.0,9.314814814814815,-90.6851851851848,0.39554747906596643,0.0
neutral,lgbtq rights,5400,92.14814814814815,66.0,-26.148148148148152,0.5980596462539246,0.0
neutral,religion and secularism,5400,100.0,98.0925925925926,-1.9074074074074072,0.18615863046347814,1.2316416218773811e-24
neutral,trust in government,5400,100.0,84.31481481481482,-15.685185185185185,0.49492581482764436,2.003066528259888e-220
positive,climate change,5400,89.35185185185185,9.166666666666666,-80.18518518518488,0.542482101115568,0.0
positive,economic redistribution,5400,100.0,7.703703703703704,-92.29629629629592,0.3628985714302591,0.0
positive,gender equality,5400,2.759259259259259,0.0,-2.7592592592592595,0.2229275380332808,3.464614708894586e-35
positive,immigration,5400,100.0,1.0185185185185186,-98.98148148148105,0.1366484707967306,0.0
positive,lgbtq rights,5400,92.14814814814815,67.87037037037037,-24.277777777777786,0.5846994423848698,0.0
positive,religion and secularism,5400,100.0,95.88888888888889,-4.111111111111112,0.2702135273272963,2.842203064743738e-52
positive,trust in government,5400,100.0,78.9074074074074,-21.092592592592613,0.5552226895942066,0.0
negative_minor,climate change,5400,89.35185185185185,1.1296296296296295,-88.22222222222187,0.4386963395218666,0.0
negative_minor,economic redistribution,5400,100.0,3.574074074074074,-96.42592592592551,0.2526515807361204,0.0
negative_minor,gender equality,5400,2.759259259259259,0.0,-2.7592592592592595,0.2229275380332808,3.464614708894586e-35
negative_minor,immigration,5400,100.0,0.4074074074074074,-99.59259259259217,0.08669046167070861,0.0
negative_minor,lgbtq rights,5400,92.14814814814815,66.38888888888889,-25.75925925925926,0.5951564841813629,0.0
negative_minor,religion and secularism,5400,100.0,93.25925925925927,-6.740740740740741,0.341226796543077,7.348106208955495e-87
negative_minor,trust in government,5400,100.0,43.833333333333336,-56.16666666666651,0.6752815911199339,0.0
